,column,dtype,non_null_count_x,unique_count,unique_percentage,duplicate_count,duplicate_value_ratio,constant_flag,top_value_percentage,quasi_constant_flag,top_value,top_value_count,top_values_preview,non_null_count_y,dominant_value,dominant_value_pct,second_dominant_value,second_dominant_pct,top_values,suspicious_uniformity_flag,dominance_note
74,BUREAU_BB_STATUS_1_MEAN_MEAN,float64,92231,13162,14.27,79069,85.73,False,67.38,False,0.0,62145,"[(np.float64(0.0), 62145), (np.float64(0.0416666666666666), 209), (np.float64(0.0833333333333333), 201)]",92231,0.0,67.38,0.0416666666666666,0.23,"[('0.0', 67.38), ('0.0416666666666666', 0.23), ('0.0833333333333333', 0.22)]",False,Most frequent dominates with 67.38%
75,BUREAU_BB_STATUS_2_MEAN_MEAN,float64,92231,2759,2.99,89472,97.01,False,93.79,False,0.0,86505,"[(np.float64(0.0), 86505), (np.float64(0.0166666666666666), 36), (np.float64(0.0119047619047619), 33)]",92231,0.0,93.79,0.0166666666666666,0.04,"[('0.0', 93.79), ('0.0166666666666666', 0.04), ('0.0119047619047619', 0.04)]",False,Most frequent dominates with 93.79%
76,BUREAU_BB_STATUS_3_MEAN_MEAN,float64,92231,1455,1.58,90776,98.42,False,97.02,True,0.0,89486,"[(np.float64(0.0), 89486), (np.float64(0.0138888888888888), 19), (np.float64(0.0166666666666666), 15)]",92231,0.0,97.02,0.0138888888888888,0.02,"[('0.0', 97.02), ('0.0138888888888888', 0.02), ('0.0166666666666666', 0.02)]",False,Most frequent dominates with 97.02%
77,BUREAU_BB_STATUS_4_MEAN_MEAN,float64,92231,1122,1.22,91109,98.78,False,97.8,True,0.0,90204,"[(np.float64(0.0), 90204), (np.float64(0.0052083333333333), 12), (np.float64(0.0125), 12)]",92231,0.0,97.8,0.0052083333333333,0.01,"[('0.0', 97.8), ('0.0052083333333333', 0.01), ('0.0125', 0.01)]",False,Most frequent dominates with 97.8%
78,BUREAU_BB_STATUS_5_MEAN_MEAN,float64,92231,1632,1.77,90599,98.23,False,97.61,True,0.0,90025,"[(np.float64(0.0), 90025), (np.float64(0.0192307692307692), 10), (np.float64(0.0277777777777777), 10)]",92231,0.0,97.61,0.0192307692307692,0.01,"[('0.0', 97.61), ('0.0192307692307692', 0.01), ('0.0277777777777777', 0.01)]",False,Most frequent dominates with 97.61%
79,BUREAU_BB_STATUS_BAD_FLAG_MEAN_MEAN,float64,92231,14129,15.32,78102,84.68,False,66.33,False,0.0,61179,"[(np.float64(0.0), 61179), (np.float64(0.0416666666666666), 216), (np.float64(0.0833333333333333), 213)]",92231,0.0,66.33,0.0416666666666666,0.23,"[('0.0', 66.33), ('0.0416666666666666', 0.23), ('0.0833333333333333', 0.23)]",False,Most frequent dominates with 66.33%
80,BUREAU_BB_STATUS_BAD_FLAG_SUM_MEAN,float64,92231,907,0.98,91324,99.02,False,66.33,False,0.0,61179,"[(np.float64(0.0), 61179), (np.float64(1.0), 2888), (np.float64(0.5), 2198)]",92231,0.0,66.33,1.0,3.13,"[('0.0', 66.33), ('1.0', 3.13), ('0.5', 2.38)]",False,Most frequent dominates with 66.33%
81,BUREAU_BB_STATUS_C_FLAG_MEAN_MEAN,float64,92231,50576,54.84,41655,45.16,False,20.15,False,0.0,18588,"[(np.float64(0.0), 18588), (np.float64(0.3333333333333333), 371), (np.float64(0.25), 348)]",92231,0.0,20.15,0.3333333333333333,0.4,"[('0.0', 20.15), ('0.3333333333333333', 0.4), ('0.25', 0.38)]",False,Most frequent dominates with 20.15%
82,BUREAU_BB_STATUS_C_MEAN_MEAN,float64,92231,50576,54.84,41655,45.16,False,20.15,False,0.0,18588,"[(np.float64(0.0), 18588), (np.float64(0.3333333333333333), 371), (np.float64(0.25), 348)]",92231,0.0,20.15,0.3333333333333333,0.4,"[('0.0', 20.15), ('0.3333333333333333', 0.4), ('0.25', 0.38)]",False,Most frequent dominates with 20.15%
83,BUREAU_BB_STATUS_X_FLAG_MEAN_MEAN,float64,92231,40979,44.43,51252,55.57,False,20.34,False,0.0,18761,"[(np.float64(0.0), 18761), (np.float64(1.0), 1615), (np.float64(0.5), 1151)]",92231,0.0,20.34,1.0,1.75,"[('0.0', 20.34), ('1.0', 1.75), ('0.5', 1.25)]",False,Most frequent dominates with 20.34%
84,BUREAU_BB_STATUS_X_MEAN_MEAN,float64,92231,40979,44.43,51252,55.57,False,20.34,False,0.0,18761,"[(np.float64(0.0), 18761), (np.float64(1.0), 1615), (np.float64(0.5), 1151)]",92231,0.0,20.34,1.0,1.75,"[('0.0', 20.34), ('1.0', 1.75), ('0.5', 1.25)]",False,Most frequent dominates with 20.34%
85,BUREAU_BB_STATUS_ZERO_FLAG_MEAN_MEAN,float64,92231,60195,65.27,32036,34.73,False,3.35,False,1.0,3088,"[(np.float64(1.0), 3088), (np.float64(0.0), 2432), (np.float64(0.5), 932)]",92231,1.0,3.35,0.0,2.64,"[('1.0', 3.35), ('0.0', 2.64), ('0.5', 1.01)]",False,Most frequent dominates with 3.35%
86,BUREAU_BB_STATUS_nan_MEAN_MEAN,float64,92231,1,0.0,92230,100.0,True,100.0,True,0.0,92231,"[(np.float64(0.0), 92231)]",92231,0.0,100.0,,,"[('0.0', 100.0)]",True,Appears uniformly dominated
87,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MAX,float64,254877,150668,59.11,104209,40.89,False,27.38,False,0.0,69780,"[(np.float64(0.0), 69780), (np.float64(1.0), 9806), (np.float64(1.02), 162)]",254877,0.0,27.38,1.0,3.85,"[('0.0', 27.38), ('1.0', 3.85), ('1.02', 0.06)]",False,Most frequent dominates with 27.38%
88,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MEAN,float64,254877,179453,70.41,75424,29.59,False,27.06,False,0.0,68967,"[(np.float64(0.0), 68967), (np.float64(1.0), 812), (np.float64(0.5), 679)]",254877,0.0,27.06,1.0,0.32,"[('0.0', 27.06), ('1.0', 0.32), ('0.5', 0.27)]",False,Most frequent dominates with 27.06%
89,BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MAX,float64,186442,2197,1.18,184245,98.82,False,98.72,True,0.0,184056,"[(np.float64(0.0), 184056), (np.float64(1.0), 170), (np.float64(0.0147783251231527), 5)]",186442,0.0,98.72,1.0,0.09,"[('0.0', 98.72), ('1.0', 0.09), ('0.0147783251231527', 0.0)]",True,Appears uniformly dominated
90,BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MEAN,float64,186442,2224,1.19,184218,98.81,False,98.72,True,0.0,184056,"[(np.float64(0.0), 184056), (np.float64(1.0), 51), (np.float64(0.5), 42)]",186442,0.0,98.72,1.0,0.03,"[('0.0', 98.72), ('1.0', 0.03), ('0.5', 0.02)]",True,Appears uniformly dominated
91,BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,float64,230165,171533,74.53,58632,25.47,False,0.83,False,0.0,1903,"[(np.float64(0.0), 1903), (np.float64(225000.0), 1690), (np.float64(450000.0), 1196)]",230165,0.0,0.83,225000.0,0.73,"[('0.0', 0.83), ('225000.0', 0.73), ('450000.0', 0.52)]",False,Most frequent dominates with 0.83%
92,BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,float64,230165,168797,73.34,61368,26.66,False,0.83,False,0.0,1903,"[(np.float64(0.0), 1903), (np.float64(225000.0), 1605), (np.float64(450000.0), 1282)]",230165,0.0,0.83,225000.0,0.7,"[('0.0', 0.83), ('225000.0', 0.7), ('450000.0', 0.56)]",False,Most frequent dominates with 0.83%
93,BUREAU_CLOSED_DAYS_CREDIT_MAX,float64,230165,2921,1.27,227244,98.73,False,0.13,False,-385.0,290,"[(np.float64(-385.0), 290), (np.float64(-364.0), 284), (np.float64(-420.0), 277)]",230165,-385.0,0.13,-364.0,0.12,"[('-385.0', 0.13), ('-364.0', 0.12), ('-420.0', 0.12)]",False,Most frequent dominates with 0.13%
94,BUREAU_CLOSED_DAYS_CREDIT_MEAN,float64,230165,44873,19.5,185292,80.5,False,0.04,False,-761.0,82,"[(np.float64(-761.0), 82), (np.float64(-1066.0), 74), (np.float64(-1001.0), 74)]",230165,-761.0,0.04,-1066.0,0.03,"[('-761.0', 0.04), ('-1066.0', 0.03), ('-1001.0', 0.03)]",False,Most frequent dominates with 0.04%
95,BUREAU_CLOSED_DAYS_CREDIT_MIN,float64,230165,2912,1.27,227253,98.73,False,0.11,False,-2871.0,256,"[(np.float64(-2871.0), 256), (np.float64(-2919.0), 255), (np.float64(-2890.0), 254)]",230165,-2871.0,0.11,-2919.0,0.11,"[('-2871.0', 0.11), ('-2919.0', 0.11), ('-2890.0', 0.11)]",False,Most frequent dominates with 0.11%
96,BUREAU_CNT_CREDIT_PROLONG_MEAN,float64,263491,111,0.04,263380,99.96,False,96.77,True,0.0,254983,"[(np.float64(0.0), 254983), (np.float64(0.25), 751), (np.float64(0.1666666666666666), 675)]",263491,0.0,96.77,0.25,0.29,"[('0.0', 96.77), ('0.25', 0.29), ('0.1666666666666666', 0.26)]",False,Most frequent dominates with 96.77%
97,BUREAU_CNT_CREDIT_PROLONG_SUM,float64,263491,10,0.0,263481,100.0,False,96.77,True,0.0,254983,"[(np.float64(0.0), 254983), (np.float64(1.0), 6869), (np.float64(2.0), 1282)]",263491,0.0,96.77,1.0,2.61,"[('0.0', 96.77), ('1.0', 2.61), ('2.0', 0.49)]",False,Most frequent dominates with 96.77%
98,BUREAU_CREDIT_ACTIVE_Active_MEAN,float64,263491,296,0.11,263195,99.89,False,17.59,False,0.0,46341,"[(np.float64(0.0), 46341), (np.float64(0.5), 35122), (np.float64(1.0), 32868)]",263491,0.0,17.59,0.5,13.33,"[('0.0', 17.59), ('0.5', 13.33), ('1.0', 12.47)]",False,Most frequent dominates with 17.59%
99,BUREAU_CREDIT_ACTIVE_Bad debt_MEAN,float64,263491,15,0.01,263476,99.99,False,99.99,True,0.0,263471,"[(np.float64(0.0), 263471), (np.float64(0.2), 3), (np.float64(0.1666666666666666), 2)]",263491,0.0,99.99,0.2,0.0,"[('0.0', 99.99), ('0.2', 0.0), ('0.1666666666666666', 0.0)]",True,Appears uniformly dominated
100,BUREAU_CREDIT_ACTIVE_Closed_MEAN,float64,263491,304,0.12,263187,99.88,False,17.31,False,1.0,45614,"[(np.float64(1.0), 45614), (np.float64(0.5), 35376), (np.float64(0.0), 33326)]",263491,1.0,17.31,0.5,13.43,"[('1.0', 17.31), ('0.5', 13.43), ('0.0', 12.65)]",False,Most frequent dominates with 17.31%
101,BUREAU_CREDIT_ACTIVE_Sold_MEAN,float64,263491,70,0.03,263421,99.97,False,98.02,True,0.0,258265,"[(np.float64(0.0), 258265), (np.float64(0.1666666666666666), 429), (np.float64(0.2), 402)]",263491,0.0,98.02,0.1666666666666666,0.16,"[('0.0', 98.02), ('0.1666666666666666', 0.16), ('0.2', 0.15)]",True,Appears uniformly dominated
102,BUREAU_CREDIT_ACTIVE_nan_MEAN,float64,263491,1,0.0,263490,100.0,True,100.0,True,0.0,263491,"[(np.float64(0.0), 263491)]",263491,0.0,100.0,,,"[('0.0', 100.0)]",True,Appears uniformly dominated
103,BUREAU_CREDIT_CURRENCY_currency 1_MEAN,float64,263491,57,0.02,263434,99.98,False,99.63,True,1.0,262523,"[(np.float64(1.0), 262523), (np.float64(0.75), 99), (np.float64(0.8333333333333334), 77)]",263491,1.0,99.63,0.75,0.04,"[('1.0', 99.63), ('0.75', 0.04), ('0.8333333333333334', 0.03)]",True,Appears uniformly dominated
104,BUREAU_CREDIT_CURRENCY_currency 2_MEAN,float64,263491,55,0.02,263436,99.98,False,99.68,True,0.0,262645,"[(np.float64(0.0), 262645), (np.float64(0.25), 85), (np.float64(0.1666666666666666), 70)]",263491,0.0,99.68,0.25,0.03,"[('0.0', 99.68), ('0.25', 0.03), ('0.1666666666666666', 0.03)]",True,Appears uniformly dominated
105,BUREAU_CREDIT_CURRENCY_currency 3_MEAN,float64,263491,33,0.01,263458,99.99,False,99.95,True,0.0,263356,"[(np.float64(0.0), 263356), (np.float64(0.125), 14), (np.float64(0.0769230769230769), 10)]",263491,0.0,99.95,0.125,0.01,"[('0.0', 99.95), ('0.125', 0.01), ('0.0769230769230769', 0.0)]",True,Appears uniformly dominated
106,BUREAU_CREDIT_CURRENCY_currency 4_MEAN,float64,263491,7,0.0,263484,100.0,False,100.0,True,0.0,263482,"[(np.float64(0.0), 263482), (np.float64(0.25), 3), (np.float64(0.1428571428571428), 2)]",263491,0.0,100.0,0.25,0.0,"[('0.0', 100.0), ('0.25', 0.0), ('0.1428571428571428', 0.0)]",True,Appears uniformly dominated
107,BUREAU_CREDIT_CURRENCY_nan_MEAN,float64,263491,1,0.0,263490,100.0,True,100.0,True,0.0,263491,"[(np.float64(0.0), 263491)]",263491,0.0,100.0,,,"[('0.0', 100.0)]",True,Appears uniformly dominated
108,BUREAU_CREDIT_DAY_OVERDUE_MAX,float64,263491,868,0.33,262623,99.67,False,98.71,True,0.0,260094,"[(np.float64(0.0), 260094), (np.float64(30.0), 227), (np.float64(60.0), 96)]",263491,0.0,98.71,30.0,0.09,"[('0.0', 98.71), ('30.0', 0.09), ('60.0', 0.04)]",True,Appears uniformly dominated
109,BUREAU_CREDIT_DAY_OVERDUE_MEAN,float64,263491,1541,0.58,261950,99.42,False,98.71,True,0.0,260094,"[(np.float64(0.0), 260094), (np.float64(5.0), 51), (np.float64(6.0), 48)]",263491,0.0,98.71,5.0,0.02,"[('0.0', 98.71), ('5.0', 0.02), ('6.0', 0.02)]",True,Appears uniformly dominated
110,BUREAU_CREDIT_DAY_OVERDUE_SUM,float64,263491,879,0.33,262612,99.67,False,98.71,True,0.0,260094,"[(np.float64(0.0), 260094), (np.float64(30.0), 213), (np.float64(60.0), 97)]",263491,0.0,98.71,30.0,0.08,"[('0.0', 98.71), ('30.0', 0.08), ('60.0', 0.04)]",True,Appears uniformly dominated
111,BUREAU_CREDIT_TYPE_Another type of loan_MEAN,float64,263491,38,0.01,263453,99.99,False,99.69,True,0.0,262678,"[(np.float64(0.0), 262678), (np.float64(0.25), 90), (np.float64(0.2), 84)]",263491,0.0,99.69,0.25,0.03,"[('0.0', 99.69), ('0.25', 0.03), ('0.2', 0.03)]",True,Appears uniformly dominated
112,BUREAU_CREDIT_TYPE_Car loan_MEAN,float64,263491,102,0.04,263389,99.96,False,92.57,False,0.0,243916,"[(np.float64(0.0), 243916), (np.float64(0.3333333333333333), 2020), (np.float64(0.25), 1987)]",263491,0.0,92.57,0.3333333333333333,0.77,"[('0.0', 92.57), ('0.3333333333333333', 0.77), ('0.25', 0.75)]",False,Most frequent dominates with 92.57%
113,BUREAU_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,float64,263491,16,0.01,263475,99.99,False,99.99,True,0.0,263471,"[(np.float64(0.0), 263471), (np.float64(0.1111111111111111), 2), (np.float64(0.1), 2)]",263491,0.0,99.99,0.1111111111111111,0.0,"[('0.0', 99.99), ('0.1111111111111111', 0.0), ('0.1', 0.0)]",True,Appears uniformly dominated
114,BUREAU_CREDIT_TYPE_Consumer credit_MEAN,float64,263491,329,0.12,263162,99.88,False,30.32,False,1.0,79884,"[(np.float64(1.0), 79884), (np.float64(0.5), 26057), (np.float64(0.6666666666666666), 23255)]",263491,1.0,30.32,0.5,9.89,"[('1.0', 30.32), ('0.5', 9.89), ('0.6666666666666666', 8.83)]",False,Most frequent dominates with 30.32%
115,BUREAU_CREDIT_TYPE_Credit card_MEAN,float64,263491,295,0.11,263196,99.89,False,34.71,False,0.0,91449,"[(np.float64(0.0), 91449), (np.float64(0.5), 22753), (np.float64(0.3333333333333333), 22312)]",263491,0.0,34.71,0.5,8.64,"[('0.0', 34.71), ('0.5', 8.64), ('0.3333333333333333', 8.47)]",False,Most frequent dominates with 34.71%
116,BUREAU_CREDIT_TYPE_Interbank credit_MEAN,float64,263491,2,0.0,263489,100.0,False,100.0,True,0.0,263490,"[(np.float64(0.0), 263490), (np.float64(0.1666666666666666), 1)]",263491,0.0,100.0,0.1666666666666666,0.0,"[('0.0', 100.0), ('0.1666666666666666', 0.0)]",True,Appears uniformly dominated
117,BUREAU_CREDIT_TYPE_Loan for business development_MEAN,float64,263491,57,0.02,263434,99.98,False,99.47,True,0.0,262100,"[(np.float64(0.0), 262100), (np.float64(0.2), 141), (np.float64(0.25), 131)]",263491,0.0,99.47,0.2,0.05,"[('0.0', 99.47), ('0.2', 0.05), ('0.25', 0.05)]",True,Appears uniformly dominated
118,BUREAU_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,float64,263491,4,0.0,263487,100.0,False,100.0,True,0.0,263487,"[(np.float64(0.0), 263487), (np.float64(0.5), 2), (np.float64(0.0666666666666666), 1)]",263491,0.0,100.0,0.5,0.0,"[('0.0', 100.0), ('0.5', 0.0), ('0.0666666666666666', 0.0)]",True,Appears uniformly dominated
119,BUREAU_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,float64,263491,14,0.01,263477,99.99,False,99.99,True,0.0,263475,"[(np.float64(0.0), 263475), (np.float64(0.0588235294117647), 2), (np.float64(1.0), 2)]",263491,0.0,99.99,0.0588235294117647,0.0,"[('0.0', 99.99), ('0.0588235294117647', 0.0), ('1.0', 0.0)]",True,Appears uniformly dominated
120,BUREAU_CREDIT_TYPE_Loan for working capital replenishment_MEAN,float64,263491,43,0.02,263448,99.98,False,99.88,True,0.0,263162,"[(np.float64(0.0), 263162), (np.float64(0.125), 36), (np.float64(0.1666666666666666), 34)]",263491,0.0,99.88,0.125,0.01,"[('0.0', 99.88), ('0.125', 0.01), ('0.1666666666666666', 0.01)]",True,Appears uniformly dominated
121,BUREAU_CREDIT_TYPE_Microloan_MEAN,float64,263491,194,0.07,263297,99.93,False,98.67,True,0.0,259992,"[(np.float64(0.0), 259992), (np.float64(0.5), 286), (np.float64(0.3333333333333333), 275)]",263491,0.0,98.67,0.5,0.11,"[('0.0', 98.67), ('0.5', 0.11), ('0.3333333333333333', 0.1)]",True,Appears uniformly dominated
122,BUREAU_CREDIT_TYPE_Mobile operator loan_MEAN,float64,263491,2,0.0,263489,100.0,False,100.0,True,0.0,263490,"[(np.float64(0.0), 263490), (np.float64(0.0625), 1)]",263491,0.0,100.0,0.0625,0.0,"[('0.0', 100.0), ('0.0625', 0.0)]",True,Appears uniformly dominated
123,BUREAU_CREDIT_TYPE_Mortgage_MEAN,float64,263491,75,0.03,263416,99.97,False,94.57,False,0.0,249186,"[(np.float64(0.0), 249186), (np.float64(0.3333333333333333), 1500), (np.float64(0.25), 1456)]",263491,0.0,94.57,0.3333333333333333,0.57,"[('0.0', 94.57), ('0.3333333333333333', 0.57), ('0.25', 0.55)]",False,Most frequent dominates with 94.57%
124,BUREAU_CREDIT_TYPE_Real estate loan_MEAN,float64,263491,12,0.0,263479,100.0,False,99.99,True,0.0,263468,"[(np.float64(0.0), 263468), (np.float64(0.1), 6), (np.float64(0.1666666666666666), 3)]",263491,0.0,99.99,0.1,0.0,"[('0.0', 99.99), ('0.1', 0.0), ('0.1666666666666666', 0.0)]",True,Appears uniformly dominated
125,BUREAU_CREDIT_TYPE_Unknown type of loan_MEAN,float64,263491,42,0.02,263449,99.98,False,99.84,True,0.0,263067,"[(np.float64(0.0), 263067), (np.float64(0.1428571428571428), 42), (np.float64(0.1666666666666666), 41)]",263491,0.0,99.84,0.1428571428571428,0.02,"[('0.0', 99.84), ('0.1428571428571428', 0.02), ('0.1666666666666666', 0.02)]",True,Appears uniformly dominated
126,BUREAU_CREDIT_TYPE_nan_MEAN,float64,263491,1,0.0,263490,100.0,True,100.0,True,0.0,263491,"[(np.float64(0.0), 263491)]",263491,0.0,100.0,,,"[('0.0', 100.0)]",True,Appears uniformly dominated
127,BUREAU_DAYS_CREDIT_ENDDATE_MAX,float64,261242,13030,4.99,248212,95.01,False,0.11,False,31060.0,279,"[(np.float64(31060.0), 279), (np.float64(31061.0), 262), (np.float64(31062.0), 247)]",261242,31060.0,0.11,31061.0,0.1,"[('31060.0', 0.11), ('31061.0', 0.1), ('31062.0', 0.09)]",False,Most frequent dominates with 0.11%
128,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,float64,261242,97903,37.48,163339,62.52,False,0.02,False,0.0,62,"[(np.float64(0.0), 62), (np.float64(-25.0), 61), (np.float64(-89.0), 59)]",261242,0.0,0.02,-25.0,0.02,"[('0.0', 0.02), ('-25.0', 0.02), ('-89.0', 0.02)]",False,Most frequent dominates with 0.02%
129,BUREAU_DAYS_CREDIT_ENDDATE_MIN,float64,261242,6828,2.61,254414,97.39,False,0.06,False,-2359.0,168,"[(np.float64(-2359.0), 168), (np.float64(-2499.0), 158), (np.float64(-2254.0), 158)]",261242,-2359.0,0.06,-2499.0,0.06,"[('-2359.0', 0.06), ('-2499.0', 0.06), ('-2254.0', 0.06)]",False,Most frequent dominates with 0.06%
130,BUREAU_DAYS_CREDIT_MAX,float64,263491,2923,1.11,260568,98.89,False,0.26,False,-91.0,688,"[(np.float64(-91.0), 688), (np.float64(-112.0), 628), (np.float64(-119.0), 618)]",263491,-91.0,0.26,-112.0,0.24,"[('-91.0', 0.26), ('-112.0', 0.24), ('-119.0', 0.23)]",False,Most frequent dominates with 0.26%
131,BUREAU_DAYS_CREDIT_MEAN,float64,263491,64556,24.5,198935,75.5,False,0.03,False,-441.0,78,"[(np.float64(-441.0), 78), (np.float64(-400.0), 77), (np.float64(-478.0), 76)]",263491,-441.0,0.03,-400.0,0.03,"[('-441.0', 0.03), ('-400.0', 0.03), ('-478.0', 0.03)]",False,Most frequent dominates with 0.03%
132,BUREAU_DAYS_CREDIT_MIN,float64,263491,2922,1.11,260569,98.89,False,0.11,False,-2919.0,286,"[(np.float64(-2919.0), 286), (np.float64(-2871.0), 282), (np.float64(-2895.0), 278)]",263491,-2919.0,0.11,-2871.0,0.11,"[('-2919.0', 0.11), ('-2871.0', 0.11), ('-2895.0', 0.11)]",False,Most frequent dominates with 0.11%
133,BUREAU_DAYS_CREDIT_UPDATE_MAX,float64,263491,2663,1.01,260828,98.99,False,4.13,False,-7.0,10877,"[(np.float64(-7.0), 10877), (np.float64(-8.0), 10269), (np.float64(-6.0), 10071)]",263491,-7.0,4.13,-8.0,3.9,"[('-7.0', 4.13), ('-8.0', 3.9), ('-6.0', 3.82)]",False,Most frequent dominates with 4.13%
134,BUREAU_DAYS_CREDIT_UPDATE_MEAN,float64,263491,55038,20.89,208453,79.11,False,0.29,False,-7.0,751,"[(np.float64(-7.0), 751), (np.float64(-14.0), 749), (np.float64(-15.0), 746)]",263491,-7.0,0.29,-14.0,0.28,"[('-7.0', 0.29), ('-14.0', 0.28), ('-15.0', 0.28)]",False,Most frequent dominates with 0.29%
135,BUREAU_DAYS_CREDIT_UPDATE_MIN,float64,263491,2969,1.13,260522,98.87,False,0.31,False,-18.0,804,"[(np.float64(-18.0), 804), (np.float64(-14.0), 791), (np.float64(-15.0), 791)]",263491,-18.0,0.31,-14.0,0.3,"[('-18.0', 0.31), ('-14.0', 0.3), ('-15.0', 0.3)]",False,Most frequent dominates with 0.31%
136,BUREAU_DAYS_CREDIT_VAR,float64,227419,190248,83.66,37171,16.34,False,0.86,False,0.0,1962,"[(np.float64(0.0), 1962), (np.float64(0.5), 956), (np.float64(4.5), 166)]",227419,0.0,0.86,0.5,0.42,"[('0.0', 0.86), ('0.5', 0.42), ('4.5', 0.07)]",False,Most frequent dominates with 0.86%
137,BUREAU_SK_ID_BUREAU_NUNIQUE,float64,263491,60,0.02,263431,99.98,False,13.69,False,1.0,36072,"[(np.float64(1.0), 36072), (np.float64(2.0), 35635), (np.float64(3.0), 32925)]",263491,1.0,13.69,2.0,13.52,"[('1.0', 13.69), ('2.0', 13.52), ('3.0', 12.5)]",False,Most frequent dominates with 13.69%
138,BUREAU_TOTAL_DEBT_CREDIT_RATIO,float64,262408,184777,70.42,77631,29.58,False,28.97,False,0.0,76030,"[(np.float64(0.0), 76030), (np.float64(1.0), 647), (np.float64(0.5), 11)]",262408,0.0,28.97,1.0,0.25,"[('0.0', 28.97), ('1.0', 0.25), ('0.5', 0.0)]",False,Most frequent dominates with 28.97%
139,BUREAU_TOTAL_OVERDUE_DEBT_RATIO,float64,186442,2995,1.61,183447,98.39,False,98.37,True,0.0,183398,"[(np.float64(0.0), 183398), (np.float64(1.0), 46), (np.float64(0.7669902912621359), 2)]",186442,0.0,98.37,1.0,0.02,"[('0.0', 98.37), ('1.0', 0.02), ('0.7669902912621359', 0.0)]",True,Appears uniformly dominated
140,CC_AMT_BALANCE_MAX,float64,86905,56722,65.27,30183,34.73,False,31.45,False,0.0,27328,"[(np.float64(0.0), 27328), (np.float64(92043.0), 83), (np.float64(190386.0), 77)]",86905,0.0,31.45,92043.0,0.1,"[('0.0', 31.45), ('92043.0', 0.1), ('190386.0', 0.09)]",False,Most frequent dominates with 31.45%
141,CC_AMT_BALANCE_MEAN,float64,86905,59467,68.43,27438,31.57,False,31.42,False,0.0,27305,"[(np.float64(0.0), 27305), (np.float64(46570.5), 16), (np.float64(523.5), 7)]",86905,0.0,31.42,46570.5,0.02,"[('0.0', 31.42), ('46570.5', 0.02), ('523.5', 0.01)]",False,Most frequent dominates with 31.42%
142,CC_AMT_BALANCE_SUM,float64,86905,58810,67.67,28095,32.33,False,31.42,False,0.0,27305,"[(np.float64(0.0), 27305), (np.float64(450.0), 34), (np.float64(900.0), 25)]",86905,0.0,31.42,450.0,0.04,"[('0.0', 31.42), ('450.0', 0.04), ('900.0', 0.03)]",False,Most frequent dominates with 31.42%
143,CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,float64,86905,54,0.06,86851,99.94,False,14.52,False,135000.0,12618,"[(np.float64(135000.0), 12618), (np.float64(180000.0), 10762), (np.float64(450000.0), 9416)]",86905,135000.0,14.52,180000.0,12.38,"[('135000.0', 14.52), ('180000.0', 12.38), ('450000.0', 10.83)]",False,Most frequent dominates with 14.52%
144,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,float64,86905,11313,13.02,75592,86.98,False,5.43,False,45000.0,4723,"[(np.float64(45000.0), 4723), (np.float64(180000.0), 4615), (np.float64(135000.0), 4388)]",86905,45000.0,5.43,180000.0,5.31,"[('45000.0', 5.43), ('180000.0', 5.31), ('135000.0', 5.05)]",False,Most frequent dominates with 5.43%
145,CC_AMT_DRAWINGS_ATM_CURRENT_MAX,float64,61140,1305,2.13,59835,97.87,False,16.11,False,0.0,9852,"[(np.float64(0.0), 9852), (np.float64(135000.0), 4478), (np.float64(90000.0), 4090)]",61140,0.0,16.11,135000.0,7.32,"[('0.0', 16.11), ('135000.0', 7.32), ('90000.0', 6.69)]",False,Most frequent dominates with 16.11%
146,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,float64,61140,22420,36.67,38720,63.33,False,16.11,False,0.0,9852,"[(np.float64(0.0), 9852), (np.float64(22500.0), 261), (np.float64(4500.0), 237)]",61140,0.0,16.11,22500.0,0.43,"[('0.0', 16.11), ('22500.0', 0.43), ('4500.0', 0.39)]",False,Most frequent dominates with 16.11%
147,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,float64,86905,5016,5.77,81889,94.23,False,40.98,False,0.0,35617,"[(np.float64(0.0), 35617), (np.float64(135000.0), 1299), (np.float64(90000.0), 1220)]",86905,0.0,40.98,135000.0,1.49,"[('0.0', 40.98), ('135000.0', 1.49), ('90000.0', 1.4)]",False,Most frequent dominates with 40.98%
148,CC_AMT_DRAWINGS_CURRENT_MAX,float64,86905,24117,27.75,62788,72.25,False,31.38,False,0.0,27269,"[(np.float64(0.0), 27269), (np.float64(135000.0), 3602), (np.float64(90000.0), 3319)]",86905,0.0,31.38,135000.0,4.14,"[('0.0', 31.38), ('135000.0', 4.14), ('90000.0', 3.82)]",False,Most frequent dominates with 31.38%
